Date,Time,Open,High,Low,Close,Volume,Status,
4/17/2025 3:00:00 PM,4/17/2025 3:00:00 PM,18428.5,18430.25,18420,18427.75,162,,
4/17/2025 2:59:00 PM,4/17/2025 2:59:00 PM,18430.5,18433,18426.75,18427.5,126,,
4/17/2025 2:58:00 PM,4/17/2025 2:58:00 PM,18430,18434.5,18428.75,18432.5,58,,
4/17/2025 2:57:00 PM,4/17/2025 2:57:00 PM,18437.5,18437.75,18428,18430.5,111,,
4/17/2025 2:56:00 PM,4/17/2025 2:56:00 PM,18436.25,18437.75,18432.5,18435.5,117,,
4/17/2025 2:55:00 PM,4/17/2025 2:55:00 PM,18436.25,18441.75,18430.75,18436,150,,
4/17/2025 2:54:00 PM,4/17/2025 2:54:00 PM,18441,18450.5,18436.25,18436.25,147,,
4/17/2025 2:53:00 PM,4/17/2025 2:53:00 PM,18442,18446.25,18435.25,18442.5,150,,
4/17/2025 2:52:00 PM,4/17/2025 2:52:00 PM,18437.5,18441.5,18432,18441.25,93,,
4/17/2025 2:51:00 PM,4/17/2025 2:51:00 PM,18431.25,18437.75,18431.25,18436.5,97,,
4/17/2025 2:50:00 PM,4/17/2025 2:50:00 PM,18442.75,18442.75,18427,18431,156,,
4/17/2025 2:49:00 PM,4/17/2025 2:49:00 PM,18427.75,18447.25,18427.75,18440.5,245,,
4/17/2025 2:48:00 PM,4/17/2025 2:48:00 PM,18440.5,18444.5,18426.5,18428,245,,
4/17/2025 2:47:00 PM,4/17/2025 2:47:00 PM,18425.75,18455.75,18424.5,18439,729,,
4/17/2025 2:46:00 PM,4/17/2025 2:46:00 PM,18420.25,18428.75,18418,18425.75,85,,
4/17/2025 2:45:00 PM,4/17/2025 2:45:00 PM,18416.75,18420.25,18415.25,18420.25,53,,
4/17/2025 2:44:00 PM,4/17/2025 2:44:00 PM,18419.5,18421.5,18415.5,18418.75,79,,
4/17/2025 2:43:00 PM,4/17/2025 2:43:00 PM,18415.25,18420,18415,18420,32,,
4/17/2025 2:42:00 PM,4/17/2025 2:42:00 PM,18414,18417.75,18412.5,18416.75,33,,
4/17/2025 2:41:00 PM,4/17/2025 2:41:00 PM,18410.75,18414.5,18409.5,18413.25,53,,
4/17/2025 2:40:00 PM,4/17/2025 2:40:00 PM,18411.25,18412.25,18407.75,18409.25,68,,
4/17/2025 2:39:00 PM,4/17/2025 2:39:00 PM,18415,18420.5,18410.25,18410.25,115,,
4/17/2025 2:38:00 PM,4/17/2025 2:38:00 PM,18409.5,18416,18409.25,18413.25,88,,
4/17/2025 2:37:00 PM,4/17/2025 2:37:00 PM,18408.25,18415,18408,18411.75,49,,
4/17/2025 2:36:00 PM,4/17/2025 2:36:00 PM,18410.25,18416.25,18409,18410.75,66,,
4/17/2025 2:35:00 PM,4/17/2025 2:35:00 PM,18406.75,18411.75,18406.75,18409.75,40,,
4/17/2025 2:34:00 PM,4/17/2025 2:34:00 PM,18404.5,18408.75,18403,18406,42,,
4/17/2025 2:33:00 PM,4/17/2025 2:33:00 PM,18405.25,18409.5,18400,18405.25,94,,
4/17/2025 2:32:00 PM,4/17/2025 2:32:00 PM,18407,18412,18401,18405.25,240,,
4/17/2025 2:31:00 PM,4/17/2025 2:31:00 PM,18406.5,18410.5,18406.5,18407,65,,
4/17/2025 2:30:00 PM,4/17/2025 2:30:00 PM,18406.5,18407.5,18404.75,18406.75,40,,
