Date,Time,Open,High,Low,Close,Volume,Status,
6/27/2025 12:00:00 AM,6/27/2025 12:00:00 AM,22710.25,22711,22708.75,22708.75,51,,
6/26/2025 11:59:00 PM,6/26/2025 11:59:00 PM,22712.25,22713,22710.5,22710.5,44,,
6/26/2025 11:58:00 PM,6/26/2025 11:58:00 PM,22711.5,22714.75,22711,22712.5,80,,
6/26/2025 11:57:00 PM,6/26/2025 11:57:00 PM,22713,22713,22709.25,22712,86,,
6/26/2025 11:56:00 PM,6/26/2025 11:56:00 PM,22715.25,22715.25,22712,22713.25,64,,
6/26/2025 11:55:00 PM,6/26/2025 11:55:00 PM,22716.25,22717.25,22714,22715.25,107,,
6/26/2025 11:54:00 PM,6/26/2025 11:54:00 PM,22717.25,22718,22716,22716.75,47,,
6/26/2025 11:53:00 PM,6/26/2025 11:53:00 PM,22716.5,22717.5,22715.25,22717,80,,
6/26/2025 11:52:00 PM,6/26/2025 11:52:00 PM,22714.75,22717.5,22714.5,22716.75,69,,
6/26/2025 11:51:00 PM,6/26/2025 11:51:00 PM,22714.75,22715.75,22714.25,22715.25,38,,
6/26/2025 11:50:00 PM,6/26/2025 11:50:00 PM,22714.5,22715.5,22713.25,22714.5,29,,
6/26/2025 11:49:00 PM,6/26/2025 11:49:00 PM,22713.5,22715.25,22713.25,22714.5,44,,
6/26/2025 11:48:00 PM,6/26/2025 11:48:00 PM,22713.75,22714,22712.25,22713,37,,
6/26/2025 11:47:00 PM,6/26/2025 11:47:00 PM,22713.25,22716.5,22712.25,22713.25,66,,
6/26/2025 11:46:00 PM,6/26/2025 11:46:00 PM,22712,22713,22711.25,22712,28,,
6/26/2025 11:45:00 PM,6/26/2025 11:45:00 PM,22712,22714.25,22712,22713.25,25,,
6/26/2025 11:44:00 PM,6/26/2025 11:44:00 PM,22710.75,22713.25,22710.75,22712,41,,
6/26/2025 11:43:00 PM,6/26/2025 11:43:00 PM,22710.5,22710.75,22710,22710.5,13,,
6/26/2025 11:42:00 PM,6/26/2025 11:42:00 PM,22711.5,22714.5,22710.25,22710.5,157,,
6/26/2025 11:41:00 PM,6/26/2025 11:41:00 PM,22707.75,22712,22706.25,22712,92,,
6/26/2025 11:40:00 PM,6/26/2025 11:40:00 PM,22703.75,22712,22703.75,22708,224,,
6/26/2025 11:39:00 PM,6/26/2025 11:39:00 PM,22701.75,22703.5,22701.75,22703.5,11,,
6/26/2025 11:38:00 PM,6/26/2025 11:38:00 PM,22702.25,22703,22701,22701.5,62,,
6/26/2025 11:37:00 PM,6/26/2025 11:37:00 PM,22701.25,22701.75,22701,22701.75,4,,
6/26/2025 11:36:00 PM,6/26/2025 11:36:00 PM,22701.5,22703.5,22698,22701.5,86,,
6/26/2025 11:35:00 PM,6/26/2025 11:35:00 PM,22701.25,22703,22701,22702,42,,
6/26/2025 11:34:00 PM,6/26/2025 11:34:00 PM,22702.75,22703.25,22700,22700.75,65,,
6/26/2025 11:33:00 PM,6/26/2025 11:33:00 PM,22699.75,22703.5,22699.75,22702.75,71,,
6/26/2025 11:32:00 PM,6/26/2025 11:32:00 PM,22699.75,22701,22699.25,22700.25,58,,
6/26/2025 11:31:00 PM,6/26/2025 11:31:00 PM,22697.25,22699.75,22697.25,22699.25,40,,
6/26/2025 11:30:00 PM,6/26/2025 11:30:00 PM,22695.75,22697.25,22695,22697,21,,
6/26/2025 11:29:00 PM,6/26/2025 11:29:00 PM,22697,22698,22696,22696,22,,
6/26/2025 11:28:00 PM,6/26/2025 11:28:00 PM,22697.25,22698,22697,22697.5,23,,
6/26/2025 11:27:00 PM,6/26/2025 11:27:00 PM,22694.25,22697.75,22694,22697.5,38,,
6/26/2025 11:26:00 PM,6/26/2025 11:26:00 PM,22695.25,22695.25,22694.5,22694.75,13,,
6/26/2025 11:25:00 PM,6/26/2025 11:25:00 PM,22696,22697,22695,22695.5,33,,
6/26/2025 11:24:00 PM,6/26/2025 11:24:00 PM,22694,22695.75,22693.5,22695,16,,
6/26/2025 11:23:00 PM,6/26/2025 11:23:00 PM,22694,22695,22693,22695,23,,
6/26/2025 11:22:00 PM,6/26/2025 11:22:00 PM,22696.25,22696.25,22693.5,22694,31,,
6/26/2025 11:21:00 PM,6/26/2025 11:21:00 PM,22695.5,22696.75,22695.5,22696.5,16,,
6/26/2025 11:20:00 PM,6/26/2025 11:20:00 PM,22695.5,22696,22692.5,22694.75,73,,
6/26/2025 11:19:00 PM,6/26/2025 11:19:00 PM,22697.5,22699.75,22695.5,22695.5,64,,
