Date,Time,Open,High,Low,Close,Volume,Status,
5/9/2025 12:00:00 AM,5/9/2025 12:00:00 AM,20192.5,20195.25,20189.5,20192.5,63,,
5/8/2025 11:59:00 PM,5/8/2025 11:59:00 PM,20194.25,20195.25,20191.25,20192.25,64,,
5/8/2025 11:58:00 PM,5/8/2025 11:58:00 PM,20197.75,20198.25,20191.5,20193,104,,
5/8/2025 11:57:00 PM,5/8/2025 11:57:00 PM,20201.75,20203,20195.75,20197.75,149,,
5/8/2025 11:56:00 PM,5/8/2025 11:56:00 PM,20191.25,20202.75,20191.25,20201,173,,
5/8/2025 11:55:00 PM,5/8/2025 11:55:00 PM,20189.25,20192,20189,20191,39,,
5/8/2025 11:54:00 PM,5/8/2025 11:54:00 PM,20187.5,20192.75,20187.25,20188.75,83,,
5/8/2025 11:53:00 PM,5/8/2025 11:53:00 PM,20186.5,20189.5,20186,20187.5,43,,
5/8/2025 11:52:00 PM,5/8/2025 11:52:00 PM,20186.25,20187,20183.75,20186,36,,
5/8/2025 11:51:00 PM,5/8/2025 11:51:00 PM,20188.25,20188.75,20181,20185.75,45,,
5/8/2025 11:50:00 PM,5/8/2025 11:50:00 PM,20185.5,20188.25,20185.25,20188,75,,
5/8/2025 11:49:00 PM,5/8/2025 11:49:00 PM,20177.25,20186.25,20177.25,20185,80,,
5/8/2025 11:48:00 PM,5/8/2025 11:48:00 PM,20178.5,20179.5,20175,20176,27,,
5/8/2025 11:47:00 PM,5/8/2025 11:47:00 PM,20181,20181.75,20177,20178,30,,
5/8/2025 11:46:00 PM,5/8/2025 11:46:00 PM,20177.75,20182,20177.5,20181,83,,
5/8/2025 11:45:00 PM,5/8/2025 11:45:00 PM,20177.5,20180.75,20177.5,20178.25,56,,
5/8/2025 11:44:00 PM,5/8/2025 11:44:00 PM,20172.75,20177.5,20172.75,20177.5,48,,
5/8/2025 11:43:00 PM,5/8/2025 11:43:00 PM,20170.25,20173,20168,20172.5,56,,
5/8/2025 11:42:00 PM,5/8/2025 11:42:00 PM,20166,20169.5,20164.5,20169.5,30,,
5/8/2025 11:41:00 PM,5/8/2025 11:41:00 PM,20168.5,20170.25,20166,20167,54,,
5/8/2025 11:40:00 PM,5/8/2025 11:40:00 PM,20170,20171,20165.25,20169.25,124,,
5/8/2025 11:39:00 PM,5/8/2025 11:39:00 PM,20177.5,20177.5,20167.25,20171.5,215,,
5/8/2025 11:38:00 PM,5/8/2025 11:38:00 PM,20179.25,20182,20177.75,20177.75,32,,
5/8/2025 11:37:00 PM,5/8/2025 11:37:00 PM,20175.25,20182.75,20171.75,20180.25,46,,
5/8/2025 11:36:00 PM,5/8/2025 11:36:00 PM,20177.75,20177.75,20171,20175.25,78,,
