Date,Time,Open,High,Low,Close,Volume,Status,
5/29/2025 7:39:00 AM,5/29/2025 7:39:00 AM,21580.5,21582.5,21576,21579.5,121,,
5/29/2025 7:38:00 AM,5/29/2025 7:38:00 AM,21586.5,21598.75,21575,21581,1856,,
5/29/2025 7:37:00 AM,5/29/2025 7:37:00 AM,21600,21605.25,21581.25,21586.75,2068,,
5/29/2025 7:36:00 AM,5/29/2025 7:36:00 AM,21609.25,21612.75,21594,21601,1725,,
5/29/2025 7:35:00 AM,5/29/2025 7:35:00 AM,21609,21618,21600.75,21610,2013,,
5/29/2025 7:34:00 AM,5/29/2025 7:34:00 AM,21587,21612.25,21581.25,21609.75,2538,,
5/29/2025 7:33:00 AM,5/29/2025 7:33:00 AM,21612.25,21613.5,21577.25,21587.25,3409,,
5/29/2025 7:32:00 AM,5/29/2025 7:32:00 AM,21649,21650.25,21612,21612,2719,,
5/29/2025 7:31:00 AM,5/29/2025 7:31:00 AM,21673.75,21679.75,21638.25,21649.5,3976,,
5/29/2025 7:30:00 AM,5/29/2025 7:30:00 AM,21679.25,21681.75,21671.75,21672,807,,
5/29/2025 7:29:00 AM,5/29/2025 7:29:00 AM,21675.75,21681.5,21668,21679.25,900,,
5/29/2025 7:28:00 AM,5/29/2025 7:28:00 AM,21668.25,21676.75,21664.25,21675.75,733,,
5/29/2025 7:27:00 AM,5/29/2025 7:27:00 AM,21667.5,21669.75,21661.75,21669.25,475,,
5/29/2025 7:26:00 AM,5/29/2025 7:26:00 AM,21682.5,21685.75,21665.75,21668,1128,,
5/29/2025 7:25:00 AM,5/29/2025 7:25:00 AM,21690.75,21692.75,21682.25,21682.25,527,,
5/29/2025 7:24:00 AM,5/29/2025 7:24:00 AM,21681.75,21692.5,21681.25,21690.5,389,,
5/29/2025 7:23:00 AM,5/29/2025 7:23:00 AM,21680.75,21687,21678,21682,306,,
5/29/2025 7:22:00 AM,5/29/2025 7:22:00 AM,21683.75,21684.75,21680.25,21680.75,297,,
5/29/2025 7:21:00 AM,5/29/2025 7:21:00 AM,21682.25,21685,21678.75,21683.75,249,,
5/29/2025 7:20:00 AM,5/29/2025 7:20:00 AM,21681.5,21684.75,21678.75,21682,227,,
5/29/2025 7:19:00 AM,5/29/2025 7:19:00 AM,21680.75,21683,21677.25,21681.25,248,,
5/29/2025 7:18:00 AM,5/29/2025 7:18:00 AM,21679,21682.75,21677.5,21681.25,319,,
5/29/2025 7:17:00 AM,5/29/2025 7:17:00 AM,21674.25,21680,21673,21678,465,,
5/29/2025 7:16:00 AM,5/29/2025 7:16:00 AM,21670,21677,21668.75,21674.75,578,,
5/29/2025 7:15:00 AM,5/29/2025 7:15:00 AM,21668.25,21671,21665.25,21669.75,338,,
5/29/2025 7:14:00 AM,5/29/2025 7:14:00 AM,21653.5,21670.5,21653.5,21668.25,544,,
5/29/2025 7:13:00 AM,5/29/2025 7:13:00 AM,21651.75,21656.75,21650,21653,282,,
5/29/2025 7:12:00 AM,5/29/2025 7:12:00 AM,21651.75,21653.5,21647.75,21652.25,337,,
5/29/2025 7:11:00 AM,5/29/2025 7:11:00 AM,21658.5,21660.25,21652,21652.5,369,,
5/29/2025 7:10:00 AM,5/29/2025 7:10:00 AM,21662.5,21662.75,21658,21658.75,190,,
5/29/2025 7:09:00 AM,5/29/2025 7:09:00 AM,21666.75,21669.25,21660.25,21662,196,,
5/29/2025 7:08:00 AM,5/29/2025 7:08:00 AM,21663.25,21670.25,21662.25,21666.75,233,,
5/29/2025 7:07:00 AM,5/29/2025 7:07:00 AM,21655,21665.75,21654.25,21664,259,,
5/29/2025 7:06:00 AM,5/29/2025 7:06:00 AM,21652.5,21659.25,21650,21654.75,216,,
5/29/2025 7:05:00 AM,5/29/2025 7:05:00 AM,21661.75,21665.75,21651,21653.25,303,,
5/29/2025 7:04:00 AM,5/29/2025 7:04:00 AM,21651.25,21663,21650,21661,251,,
5/29/2025 7:03:00 AM,5/29/2025 7:03:00 AM,21647.25,21654.75,21646,21652.75,232,,
5/29/2025 7:02:00 AM,5/29/2025 7:02:00 AM,21645.25,21649.25,21644.25,21647.75,223,,
5/29/2025 7:01:00 AM,5/29/2025 7:01:00 AM,21645.5,21650.5,21639.75,21645.25,402,,
5/29/2025 7:00:00 AM,5/29/2025 7:00:00 AM,21642,21648,21641.25,21644.75,155,,
5/29/2025 6:59:00 AM,5/29/2025 6:59:00 AM,21647,21647.5,21641.25,21641.25,212,,
5/29/2025 6:58:00 AM,5/29/2025 6:58:00 AM,21652.75,21656.5,21645,21646.5,290,,
5/29/2025 6:57:00 AM,5/29/2025 6:57:00 AM,21661.25,21661.25,21653,21653.25,199,,
5/29/2025 6:56:00 AM,5/29/2025 6:56:00 AM,21662,21664.5,21657.25,21660.75,301,,
5/29/2025 6:55:00 AM,5/29/2025 6:55:00 AM,21661.5,21665.25,21658.75,21661.25,223,,
5/29/2025 6:54:00 AM,5/29/2025 6:54:00 AM,21666,21667,21658.5,21660.75,253,,
5/29/2025 6:53:00 AM,5/29/2025 6:53:00 AM,21644.25,21665.5,21644.25,21664.5,448,,
5/29/2025 6:52:00 AM,5/29/2025 6:52:00 AM,21652.25,21653,21641.25,21644.25,198,,
5/29/2025 6:51:00 AM,5/29/2025 6:51:00 AM,21649.75,21654.75,21644.5,21652.25,302,,
5/29/2025 6:50:00 AM,5/29/2025 6:50:00 AM,21655.5,21659,21648.5,21651,233,,
5/29/2025 6:49:00 AM,5/29/2025 6:49:00 AM,21650.75,21659.75,21645,21656.75,250,,
5/29/2025 6:48:00 AM,5/29/2025 6:48:00 AM,21652.75,21658.25,21650,21651,418,,
5/29/2025 6:47:00 AM,5/29/2025 6:47:00 AM,21641.75,21654.5,21641.75,21653,231,,
5/29/2025 6:46:00 AM,5/29/2025 6:46:00 AM,21639.25,21649,21639.25,21640.5,287,,
5/29/2025 6:45:00 AM,5/29/2025 6:45:00 AM,21640,21647.75,21633,21638.75,367,,
5/29/2025 6:44:00 AM,5/29/2025 6:44:00 AM,21633.5,21642,21632.75,21639.5,349,,
5/29/2025 6:43:00 AM,5/29/2025 6:43:00 AM,21639.25,21640.5,21627.5,21633.25,655,,
5/29/2025 6:42:00 AM,5/29/2025 6:42:00 AM,21643,21644.75,21633.75,21639,353,,
5/29/2025 6:41:00 AM,5/29/2025 6:41:00 AM,21642.25,21647.25,21636.75,21643,533,,
5/29/2025 6:40:00 AM,5/29/2025 6:40:00 AM,21660,21660,21642.25,21643.5,539,,
5/29/2025 6:39:00 AM,5/29/2025 6:39:00 AM,21665.25,21667.75,21655.25,21659.5,369,,
5/29/2025 6:38:00 AM,5/29/2025 6:38:00 AM,21681.5,21683.25,21663.75,21665,424,,
5/29/2025 6:37:00 AM,5/29/2025 6:37:00 AM,21680.25,21684.75,21677,21681.25,161,,
5/29/2025 6:36:00 AM,5/29/2025 6:36:00 AM,21684.75,21687.5,21678.5,21680.25,280,,
5/29/2025 6:35:00 AM,5/29/2025 6:35:00 AM,21684.25,21686.25,21673,21684.5,330,,
5/29/2025 6:34:00 AM,5/29/2025 6:34:00 AM,21683,21685.5,21675.25,21684.25,258,,
5/29/2025 6:33:00 AM,5/29/2025 6:33:00 AM,21682.25,21685.25,21675.75,21682,364,,
