Date,Time,Open,High,Low,Close,Volume,Status,
7/1/2025 8:16:00 AM,7/1/2025 8:16:00 AM,22829,22848.25,22825,22833.25,1617,,
7/1/2025 8:15:00 AM,7/1/2025 8:15:00 AM,22828.5,22830.75,22823,22829.5,1282,,
7/1/2025 8:14:00 AM,7/1/2025 8:14:00 AM,22810.75,22829.5,22808,22828.75,1530,,
7/1/2025 8:13:00 AM,7/1/2025 8:13:00 AM,22795.75,22812.75,22795.75,22810.5,1156,,
7/1/2025 8:12:00 AM,7/1/2025 8:12:00 AM,22790.75,22799.5,22788.25,22795.5,836,,
7/1/2025 8:11:00 AM,7/1/2025 8:11:00 AM,22799,22801.25,22787.75,22790.5,1421,,
7/1/2025 8:10:00 AM,7/1/2025 8:10:00 AM,22809.5,22809.5,22797.25,22798.5,922,,
7/1/2025 8:09:00 AM,7/1/2025 8:09:00 AM,22805.5,22810.5,22802.25,22809,800,,
7/1/2025 8:08:00 AM,7/1/2025 8:08:00 AM,22804,22809.25,22804,22805.5,427,,
7/1/2025 8:07:00 AM,7/1/2025 8:07:00 AM,22815.75,22819.5,22804,22804.75,896,,
7/1/2025 8:06:00 AM,7/1/2025 8:06:00 AM,22804,22817.75,22803.5,22815.75,1086,,
7/1/2025 8:05:00 AM,7/1/2025 8:05:00 AM,22797.25,22805.25,22795.5,22803.5,803,,
7/1/2025 8:04:00 AM,7/1/2025 8:04:00 AM,22806.25,22809.25,22792.25,22797.5,1231,,
7/1/2025 8:03:00 AM,7/1/2025 8:03:00 AM,22812.75,22816,22802,22805.75,855,,
7/1/2025 8:02:00 AM,7/1/2025 8:02:00 AM,22810,22818.5,22802.75,22812.25,1156,,
7/1/2025 8:01:00 AM,7/1/2025 8:01:00 AM,22810,22833.25,22799,22810.75,1887,,
7/1/2025 8:00:00 AM,7/1/2025 8:00:00 AM,22808.75,22815,22805.75,22815,660,,
7/1/2025 7:59:00 AM,7/1/2025 7:59:00 AM,22812.25,22812.25,22806.5,22808.25,760,,
7/1/2025 7:58:00 AM,7/1/2025 7:58:00 AM,22817.75,22817.75,22810,22812,911,,
7/1/2025 7:57:00 AM,7/1/2025 7:57:00 AM,22819.75,22827.25,22817.25,22817.75,982,,
7/1/2025 7:56:00 AM,7/1/2025 7:56:00 AM,22824.25,22826.25,22815,22819.5,968,,
7/1/2025 7:55:00 AM,7/1/2025 7:55:00 AM,22831.5,22832,22823,22824.25,736,,
7/1/2025 7:54:00 AM,7/1/2025 7:54:00 AM,22827.75,22833,22818.5,22831.5,945,,
7/1/2025 7:53:00 AM,7/1/2025 7:53:00 AM,22829.75,22834.25,22819,22828,1517,,
7/1/2025 7:52:00 AM,7/1/2025 7:52:00 AM,22829.75,22834.25,22824,22830,1438,,
7/1/2025 7:51:00 AM,7/1/2025 7:51:00 AM,22819.25,22829.5,22814.5,22829.5,1588,,
7/1/2025 7:50:00 AM,7/1/2025 7:50:00 AM,22813.75,22824.25,22808.5,22819.5,1893,,
7/1/2025 7:49:00 AM,7/1/2025 7:49:00 AM,22804.5,22822.5,22797.75,22813.5,1530,,
7/1/2025 7:48:00 AM,7/1/2025 7:48:00 AM,22806.5,22810.5,22799,22804,822,,
7/1/2025 7:47:00 AM,7/1/2025 7:47:00 AM,22802.25,22809,22800,22806.25,951,,
7/1/2025 7:46:00 AM,7/1/2025 7:46:00 AM,22793.5,22804.5,22789,22802.5,1255,,
7/1/2025 7:45:00 AM,7/1/2025 7:45:00 AM,22788.5,22796.5,22780,22792.75,1434,,
7/1/2025 7:44:00 AM,7/1/2025 7:44:00 AM,22802,22802,22784.5,22789,1558,,
7/1/2025 7:43:00 AM,7/1/2025 7:43:00 AM,22805.5,22808,22798.25,22802.25,940,,
7/1/2025 7:42:00 AM,7/1/2025 7:42:00 AM,22811.25,22815,22802.75,22805.5,897,,
7/1/2025 7:41:00 AM,7/1/2025 7:41:00 AM,22810.75,22818.75,22808,22811,1049,,
7/1/2025 7:40:00 AM,7/1/2025 7:40:00 AM,22813,22818.25,22804.5,22811,1015,,
7/1/2025 7:39:00 AM,7/1/2025 7:39:00 AM,22802,22815,22798,22812.5,984,,
7/1/2025 7:38:00 AM,7/1/2025 7:38:00 AM,22811,22812.25,22796,22800.75,1141,,
7/1/2025 7:37:00 AM,7/1/2025 7:37:00 AM,22806.25,22818.5,22804,22811,1399,,
7/1/2025 7:36:00 AM,7/1/2025 7:36:00 AM,22804,22811.25,22796.25,22806.5,1473,,
7/1/2025 7:35:00 AM,7/1/2025 7:35:00 AM,22813.5,22814,22797.75,22804,1080,,
7/1/2025 7:34:00 AM,7/1/2025 7:34:00 AM,22814.75,22819.25,22802.75,22813,1525,,
7/1/2025 7:33:00 AM,7/1/2025 7:33:00 AM,22802,22814.5,22795.25,22814.5,1767,,
7/1/2025 7:32:00 AM,7/1/2025 7:32:00 AM,22804.75,22816,22794.25,22801.5,2498,,
7/1/2025 7:31:00 AM,7/1/2025 7:31:00 AM,22802.25,22821.25,22793.25,22805,4371,,
7/1/2025 7:30:00 AM,7/1/2025 7:30:00 AM,22797.25,22804.5,22797.25,22802.5,421,,
7/1/2025 7:29:00 AM,7/1/2025 7:29:00 AM,22795.25,22805.25,22795.25,22797.5,572,,
7/1/2025 7:28:00 AM,7/1/2025 7:28:00 AM,22803.75,22804.5,22791.75,22795.25,540,,
7/1/2025 7:27:00 AM,7/1/2025 7:27:00 AM,22799.75,22805,22797.5,22803.5,284,,
7/1/2025 7:26:00 AM,7/1/2025 7:26:00 AM,22798,22804.25,22796.75,22799.75,394,,
7/1/2025 7:25:00 AM,7/1/2025 7:25:00 AM,22794.25,22801.5,22794.25,22798.25,305,,
7/1/2025 7:24:00 AM,7/1/2025 7:24:00 AM,22795,22798.5,22794,22794,127,,
7/1/2025 7:23:00 AM,7/1/2025 7:23:00 AM,22795.75,22797.75,22791.25,22795.25,318,,
7/1/2025 7:22:00 AM,7/1/2025 7:22:00 AM,22799.5,22801.5,22795.25,22795.75,206,,
7/1/2025 7:21:00 AM,7/1/2025 7:21:00 AM,22797.5,22801.5,22795.25,22799.25,201,,
7/1/2025 7:20:00 AM,7/1/2025 7:20:00 AM,22800,22801.5,22795,22798,264,,
7/1/2025 7:19:00 AM,7/1/2025 7:19:00 AM,22800.5,22801.75,22797.75,22799,273,,
7/1/2025 7:18:00 AM,7/1/2025 7:18:00 AM,22803,22804.75,22800,22800.25,255,,
7/1/2025 7:17:00 AM,7/1/2025 7:17:00 AM,22815.25,22815.25,22803,22803.25,388,,
7/1/2025 7:16:00 AM,7/1/2025 7:16:00 AM,22813.5,22815.5,22811.75,22815.5,211,,
7/1/2025 7:15:00 AM,7/1/2025 7:15:00 AM,22812,22816.25,22811.5,22814.5,145,,
7/1/2025 7:14:00 AM,7/1/2025 7:14:00 AM,22813,22814.75,22811.75,22812.25,127,,
