Date,Time,Open,High,Low,Close,Volume,Status,
4/10/2025 12:00:00 AM,4/10/2025 12:00:00 AM,19136.75,19153,19136.75,19152,202,,
4/9/2025 11:59:00 PM,4/9/2025 11:59:00 PM,19130.25,19138.25,19125.25,19137.5,99,,
4/9/2025 11:58:00 PM,4/9/2025 11:58:00 PM,19128.5,19139.75,19127.75,19131.5,82,,
4/9/2025 11:57:00 PM,4/9/2025 11:57:00 PM,19145.5,19146,19125.5,19129.75,206,,
4/9/2025 11:56:00 PM,4/9/2025 11:56:00 PM,19144.75,19149.5,19135,19145.75,203,,
4/9/2025 11:55:00 PM,4/9/2025 11:55:00 PM,19123.25,19148,19120.75,19146.5,222,,
4/9/2025 11:54:00 PM,4/9/2025 11:54:00 PM,19129.5,19129.75,19114.25,19124.25,293,,
4/9/2025 11:53:00 PM,4/9/2025 11:53:00 PM,19123.75,19131,19118.5,19127,237,,
4/9/2025 11:52:00 PM,4/9/2025 11:52:00 PM,19098.75,19128.5,19097.25,19122.75,279,,
4/9/2025 11:51:00 PM,4/9/2025 11:51:00 PM,19095.25,19099.25,19091.75,19097.25,97,,
4/9/2025 11:50:00 PM,4/9/2025 11:50:00 PM,19101.5,19101.5,19093.25,19095.25,80,,
4/9/2025 11:49:00 PM,4/9/2025 11:49:00 PM,19102.75,19103.5,19095.75,19101.25,88,,
4/9/2025 11:48:00 PM,4/9/2025 11:48:00 PM,19093.75,19104.75,19093.5,19103,155,,
4/9/2025 11:47:00 PM,4/9/2025 11:47:00 PM,19083.5,19098.5,19083.5,19095.25,125,,
4/9/2025 11:46:00 PM,4/9/2025 11:46:00 PM,19078,19086,19077,19083,116,,
4/9/2025 11:45:00 PM,4/9/2025 11:45:00 PM,19073,19082.25,19069.25,19077.75,79,,
4/9/2025 11:44:00 PM,4/9/2025 11:44:00 PM,19089,19091,19072.5,19073.25,133,,
4/9/2025 11:43:00 PM,4/9/2025 11:43:00 PM,19095,19095.25,19085.75,19088.75,104,,
4/9/2025 11:42:00 PM,4/9/2025 11:42:00 PM,19081,19095,19081,19095,169,,
4/9/2025 11:41:00 PM,4/9/2025 11:41:00 PM,19072.25,19084,19072.25,19080.25,78,,
4/9/2025 11:40:00 PM,4/9/2025 11:40:00 PM,19059.75,19073.5,19055.5,19071.75,85,,
4/9/2025 11:39:00 PM,4/9/2025 11:39:00 PM,19063.5,19065.5,19056.75,19057.75,61,,
4/9/2025 11:38:00 PM,4/9/2025 11:38:00 PM,19059,19063.25,19057.25,19061.75,55,,
4/9/2025 11:37:00 PM,4/9/2025 11:37:00 PM,19065,19067,19056,19060.5,66,,
4/9/2025 11:36:00 PM,4/9/2025 11:36:00 PM,19052.25,19065.75,19048,19065.75,84,,
4/9/2025 11:35:00 PM,4/9/2025 11:35:00 PM,19065.75,19068.75,19048.25,19051.25,127,,
