Date,Time,Open,High,Low,Close,Volume,Status,
4/29/2025 12:00:00 AM,4/29/2025 12:00:00 AM,19534.5,19535.75,19531.5,19532.5,44,,
4/28/2025 11:59:00 PM,4/28/2025 11:59:00 PM,19543.5,19543.5,19533.5,19534.25,134,,
4/28/2025 11:58:00 PM,4/28/2025 11:58:00 PM,19546.25,19549.75,19542,19543.5,53,,
4/28/2025 11:57:00 PM,4/28/2025 11:57:00 PM,19545.5,19547,19544.75,19546.25,21,,
4/28/2025 11:56:00 PM,4/28/2025 11:56:00 PM,19542.5,19546.25,19540.25,19546,51,,
4/28/2025 11:55:00 PM,4/28/2025 11:55:00 PM,19544.25,19545.25,19541,19541,67,,
4/28/2025 11:54:00 PM,4/28/2025 11:54:00 PM,19548.25,19549.5,19542.75,19546.25,49,,
4/28/2025 11:53:00 PM,4/28/2025 11:53:00 PM,19550,19554,19550,19550,64,,
4/28/2025 11:52:00 PM,4/28/2025 11:52:00 PM,19546.75,19549.5,19543.5,19548.75,65,,
4/28/2025 11:51:00 PM,4/28/2025 11:51:00 PM,19548.75,19549,19544.25,19546.5,54,,
4/28/2025 11:50:00 PM,4/28/2025 11:50:00 PM,19542.25,19550.25,19541.75,19548.75,100,,
4/28/2025 11:49:00 PM,4/28/2025 11:49:00 PM,19546.5,19546.5,19542.5,19542.75,35,,
4/28/2025 11:48:00 PM,4/28/2025 11:48:00 PM,19546.25,19547,19544.75,19544.75,20,,
4/28/2025 11:47:00 PM,4/28/2025 11:47:00 PM,19542.75,19546,19542.5,19546,37,,
4/28/2025 11:46:00 PM,4/28/2025 11:46:00 PM,19541.25,19544.5,19539.5,19542.75,40,,
4/28/2025 11:45:00 PM,4/28/2025 11:45:00 PM,19541,19543.25,19541,19541.75,10,,
4/28/2025 11:44:00 PM,4/28/2025 11:44:00 PM,19539.5,19542.5,19538.75,19540.5,36,,
4/28/2025 11:43:00 PM,4/28/2025 11:43:00 PM,19543,19543,19537.75,19539.5,39,,
4/28/2025 11:42:00 PM,4/28/2025 11:42:00 PM,19549,19549,19538.5,19541.75,84,,
4/28/2025 11:41:00 PM,4/28/2025 11:41:00 PM,19551,19551.25,19548.25,19548.5,22,,
4/28/2025 11:40:00 PM,4/28/2025 11:40:00 PM,19552,19552.5,19549.5,19549.75,18,,
4/28/2025 11:39:00 PM,4/28/2025 11:39:00 PM,19549.75,19552,19549,19551.5,18,,
