Date,Time,Open,High,Low,Close,Volume,Status,
6/13/2025 12:00:00 AM,6/13/2025 12:00:00 AM,21568.75,21570.25,21567,21570.25,26,,
6/12/2025 11:59:00 PM,6/12/2025 11:59:00 PM,21568,21569.75,21567.5,21568.25,22,,
6/12/2025 11:58:00 PM,6/12/2025 11:58:00 PM,21565.25,21568,21564.5,21568,36,,
6/12/2025 11:57:00 PM,6/12/2025 11:57:00 PM,21566.5,21566.5,21561.25,21564.75,51,,
6/12/2025 11:56:00 PM,6/12/2025 11:56:00 PM,21566.25,21570.25,21564.75,21566.75,99,,
6/12/2025 11:55:00 PM,6/12/2025 11:55:00 PM,21563,21568,21563,21567.5,83,,
6/12/2025 11:54:00 PM,6/12/2025 11:54:00 PM,21555,21564.75,21554.25,21563.25,61,,
6/12/2025 11:53:00 PM,6/12/2025 11:53:00 PM,21558,21558.5,21553.5,21558,34,,
6/12/2025 11:52:00 PM,6/12/2025 11:52:00 PM,21551.25,21561.25,21551.25,21560.25,60,,
6/12/2025 11:51:00 PM,6/12/2025 11:51:00 PM,21556.5,21556.5,21548.25,21549.5,45,,
6/12/2025 11:50:00 PM,6/12/2025 11:50:00 PM,21552.5,21558,21550,21556.25,67,,
6/12/2025 11:49:00 PM,6/12/2025 11:49:00 PM,21549.75,21552.5,21547,21552.5,39,,
6/12/2025 11:48:00 PM,6/12/2025 11:48:00 PM,21543.5,21549,21540.25,21549,33,,
6/12/2025 11:47:00 PM,6/12/2025 11:47:00 PM,21538.75,21546.5,21538.75,21543.5,54,,
6/12/2025 11:46:00 PM,6/12/2025 11:46:00 PM,21543.25,21544.75,21539,21540.25,28,,
6/12/2025 11:45:00 PM,6/12/2025 11:45:00 PM,21541,21544,21541,21542.5,12,,
6/12/2025 11:44:00 PM,6/12/2025 11:44:00 PM,21542.5,21542.75,21539,21541,28,,
6/12/2025 11:43:00 PM,6/12/2025 11:43:00 PM,21538.25,21546,21536.75,21543.5,96,,
6/12/2025 11:42:00 PM,6/12/2025 11:42:00 PM,21543.25,21546,21536.5,21539.5,83,,
6/12/2025 11:41:00 PM,6/12/2025 11:41:00 PM,21553,21555,21542,21542,58,,
6/12/2025 11:40:00 PM,6/12/2025 11:40:00 PM,21556.5,21557.5,21551.25,21552.25,61,,
6/12/2025 11:39:00 PM,6/12/2025 11:39:00 PM,21554,21557,21553.75,21555.75,20,,
6/12/2025 11:38:00 PM,6/12/2025 11:38:00 PM,21555,21557,21553.25,21554.5,26,,
6/12/2025 11:37:00 PM,6/12/2025 11:37:00 PM,21551,21556.25,21551,21553.75,22,,
6/12/2025 11:36:00 PM,6/12/2025 11:36:00 PM,21552.25,21556,21550,21550.75,32,,
6/12/2025 11:35:00 PM,6/12/2025 11:35:00 PM,21552,21554.25,21550.5,21550.5,22,,
6/12/2025 11:34:00 PM,6/12/2025 11:34:00 PM,21548.75,21551.75,21546.25,21548.25,39,,
6/12/2025 11:33:00 PM,6/12/2025 11:33:00 PM,21548.75,21551,21547,21548.5,28,,
6/12/2025 11:32:00 PM,6/12/2025 11:32:00 PM,21545.25,21552,21544,21548.5,81,,
6/12/2025 11:31:00 PM,6/12/2025 11:31:00 PM,21556.5,21556.5,21544.75,21546.5,71,,
6/12/2025 11:30:00 PM,6/12/2025 11:30:00 PM,21554.75,21556,21551.25,21554.25,21,,
6/12/2025 11:29:00 PM,6/12/2025 11:29:00 PM,21555.5,21555.5,21545.75,21555.5,76,,
6/12/2025 11:28:00 PM,6/12/2025 11:28:00 PM,21556.5,21558,21555,21555.75,27,,
6/12/2025 11:27:00 PM,6/12/2025 11:27:00 PM,21555,21560,21554.75,21557.75,62,,
6/12/2025 11:26:00 PM,6/12/2025 11:26:00 PM,21551.25,21556.5,21551.25,21556.5,50,,
6/12/2025 11:25:00 PM,6/12/2025 11:25:00 PM,21549,21555.5,21549,21552,44,,
6/12/2025 11:24:00 PM,6/12/2025 11:24:00 PM,21544.5,21550,21536.75,21548.75,57,,
6/12/2025 11:23:00 PM,6/12/2025 11:23:00 PM,21548.5,21551.25,21543.5,21545,35,,
6/12/2025 11:22:00 PM,6/12/2025 11:22:00 PM,21554,21554,21548.75,21551,23,,
6/12/2025 11:21:00 PM,6/12/2025 11:21:00 PM,21551,21559,21550,21554,69,,
6/12/2025 11:20:00 PM,6/12/2025 11:20:00 PM,21551.25,21551.25,21546.75,21550,20,,
6/12/2025 11:19:00 PM,6/12/2025 11:19:00 PM,21549,21551.5,21549,21550.75,19,,
6/12/2025 11:18:00 PM,6/12/2025 11:18:00 PM,21552.75,21553.25,21544.5,21548.5,55,,
6/12/2025 11:17:00 PM,6/12/2025 11:17:00 PM,21547.75,21555.75,21547.75,21551.75,56,,
6/12/2025 11:16:00 PM,6/12/2025 11:16:00 PM,21550.75,21551.5,21545.75,21547,16,,
6/12/2025 11:15:00 PM,6/12/2025 11:15:00 PM,21545.5,21554.25,21543.75,21553,89,,
6/12/2025 11:14:00 PM,6/12/2025 11:14:00 PM,21543,21546,21540.75,21546,23,,
6/12/2025 11:13:00 PM,6/12/2025 11:13:00 PM,21539,21543.5,21537.5,21543,15,,
6/12/2025 11:12:00 PM,6/12/2025 11:12:00 PM,21544.25,21544.5,21538,21538.5,40,,
6/12/2025 11:11:00 PM,6/12/2025 11:11:00 PM,21545.25,21549.75,21540,21545,64,,
6/12/2025 11:10:00 PM,6/12/2025 11:10:00 PM,21539.25,21544.75,21536.75,21544.75,24,,
6/12/2025 11:09:00 PM,6/12/2025 11:09:00 PM,21532,21540.5,21532,21539.25,31,,
6/12/2025 11:08:00 PM,6/12/2025 11:08:00 PM,21535,21536.5,21530,21532.25,76,,
6/12/2025 11:07:00 PM,6/12/2025 11:07:00 PM,21538.25,21539.75,21536.25,21538.5,16,,
6/12/2025 11:06:00 PM,6/12/2025 11:06:00 PM,21535.75,21540,21535.75,21537,21,,
6/12/2025 11:05:00 PM,6/12/2025 11:05:00 PM,21535.75,21538.5,21532,21533,52,,
6/12/2025 11:04:00 PM,6/12/2025 11:04:00 PM,21534.75,21545,21530,21534,151,,
6/12/2025 11:03:00 PM,6/12/2025 11:03:00 PM,21527,21537.75,21527,21535,58,,
