Date,Time,Open,High,Low,Close,Volume,Status,
5/5/2025 12:00:00 AM,5/5/2025 12:00:00 AM,20062.5,20063.25,20060,20062.75,33,,
5/4/2025 11:59:00 PM,5/4/2025 11:59:00 PM,20066.5,20067,20063,20063,37,,
5/4/2025 11:58:00 PM,5/4/2025 11:58:00 PM,20056.75,20065,20056.75,20065,59,,
5/4/2025 11:57:00 PM,5/4/2025 11:57:00 PM,20056.5,20057.75,20053.25,20057.75,29,,
5/4/2025 11:56:00 PM,5/4/2025 11:56:00 PM,20059,20061,20056.75,20056.75,46,,
5/4/2025 11:55:00 PM,5/4/2025 11:55:00 PM,20061.5,20061.5,20058.5,20059,36,,
5/4/2025 11:54:00 PM,5/4/2025 11:54:00 PM,20059.25,20061.75,20057.75,20061.75,32,,
5/4/2025 11:53:00 PM,5/4/2025 11:53:00 PM,20055,20062,20054.5,20059.75,101,,
5/4/2025 11:52:00 PM,5/4/2025 11:52:00 PM,20050.25,20055.5,20050.25,20055.5,43,,
5/4/2025 11:51:00 PM,5/4/2025 11:51:00 PM,20050.5,20052.5,20047.25,20051,100,,
5/4/2025 11:50:00 PM,5/4/2025 11:50:00 PM,20055.5,20055.5,20050,20051.5,57,,
5/4/2025 11:49:00 PM,5/4/2025 11:49:00 PM,20055,20056.75,20054,20054.5,44,,
5/4/2025 11:48:00 PM,5/4/2025 11:48:00 PM,20057.25,20058.5,20054.5,20054.5,32,,
5/4/2025 11:47:00 PM,5/4/2025 11:47:00 PM,20053.25,20058,20051,20058,104,,
5/4/2025 11:46:00 PM,5/4/2025 11:46:00 PM,20055.5,20055.75,20053.25,20054,48,,
5/4/2025 11:45:00 PM,5/4/2025 11:45:00 PM,20060,20060.75,20054,20055.25,59,,
5/4/2025 11:44:00 PM,5/4/2025 11:44:00 PM,20069.25,20070.25,20061,20061,131,,
5/4/2025 11:43:00 PM,5/4/2025 11:43:00 PM,20057.75,20069.75,20056.5,20069,144,,
5/4/2025 11:42:00 PM,5/4/2025 11:42:00 PM,20056.25,20056.75,20054.5,20056.75,28,,
5/4/2025 11:41:00 PM,5/4/2025 11:41:00 PM,20057.5,20060.5,20057,20057.75,49,,
5/4/2025 11:40:00 PM,5/4/2025 11:40:00 PM,20054.5,20057.25,20053.25,20055.75,33,,
5/4/2025 11:39:00 PM,5/4/2025 11:39:00 PM,20057,20057,20053,20053.75,60,,
5/4/2025 11:38:00 PM,5/4/2025 11:38:00 PM,20062.25,20062.25,20058,20058.25,78,,
5/4/2025 11:37:00 PM,5/4/2025 11:37:00 PM,20068.25,20072.75,20060.5,20062.75,199,,
5/4/2025 11:36:00 PM,5/4/2025 11:36:00 PM,20064.5,20068.75,20064,20068.5,37,,
5/4/2025 11:35:00 PM,5/4/2025 11:35:00 PM,20065.75,20066.5,20063.75,20064.5,21,,
5/4/2025 11:34:00 PM,5/4/2025 11:34:00 PM,20059.5,20065.5,20059.25,20065,32,,
5/4/2025 11:33:00 PM,5/4/2025 11:33:00 PM,20062.75,20064.75,20059.75,20059.75,27,,
5/4/2025 11:32:00 PM,5/4/2025 11:32:00 PM,20062.5,20067.25,20061.75,20062.25,93,,
5/4/2025 11:31:00 PM,5/4/2025 11:31:00 PM,20059.75,20064.25,20059.25,20061.5,36,,
5/4/2025 11:30:00 PM,5/4/2025 11:30:00 PM,20058.25,20060.5,20056.25,20059.75,40,,
5/4/2025 11:29:00 PM,5/4/2025 11:29:00 PM,20059.75,20061.75,20057.25,20057.25,21,,
5/4/2025 11:28:00 PM,5/4/2025 11:28:00 PM,20060.25,20060.5,20055.5,20060.5,40,,
5/4/2025 11:27:00 PM,5/4/2025 11:27:00 PM,20062.5,20062.5,20060,20060.5,39,,
5/4/2025 11:26:00 PM,5/4/2025 11:26:00 PM,20060,20062.5,20056.75,20062.5,48,,
5/4/2025 11:25:00 PM,5/4/2025 11:25:00 PM,20060,20061,20059.5,20060.25,23,,
5/4/2025 11:24:00 PM,5/4/2025 11:24:00 PM,20061.25,20062.25,20060,20060,17,,
5/4/2025 11:23:00 PM,5/4/2025 11:23:00 PM,20060.75,20061,20059.25,20059.25,10,,
5/4/2025 11:22:00 PM,5/4/2025 11:22:00 PM,20062.5,20062.5,20057.75,20060,49,,
5/4/2025 11:21:00 PM,5/4/2025 11:21:00 PM,20059.5,20063.25,20058.25,20063,41,,
5/4/2025 11:20:00 PM,5/4/2025 11:20:00 PM,20057.75,20060.75,20057.5,20058.5,28,,
5/4/2025 11:19:00 PM,5/4/2025 11:19:00 PM,20057.75,20057.75,20055,20056.75,29,,
5/4/2025 11:18:00 PM,5/4/2025 11:18:00 PM,20058.25,20059,20058.25,20058.5,3,,
