Date,Time,Open,High,Low,Close,Volume,Status,
5/16/2025 3:00:00 PM,5/16/2025 3:00:00 PM,21405.75,21412,21396.5,21400.25,513,,
5/16/2025 2:59:00 PM,5/16/2025 2:59:00 PM,21407.75,21412.5,21401.5,21405.25,245,,
5/16/2025 2:58:00 PM,5/16/2025 2:58:00 PM,21410.5,21410.5,21397.25,21408,286,,
5/16/2025 2:57:00 PM,5/16/2025 2:57:00 PM,21399.25,21429.75,21398.75,21410,348,,
5/16/2025 2:56:00 PM,5/16/2025 2:56:00 PM,21392,21409.25,21384,21400.25,658,,
5/16/2025 2:55:00 PM,5/16/2025 2:55:00 PM,21402.25,21403.5,21386.5,21392.25,745,,
5/16/2025 2:54:00 PM,5/16/2025 2:54:00 PM,21419,21419.5,21400.75,21401.5,545,,
5/16/2025 2:53:00 PM,5/16/2025 2:53:00 PM,21431.5,21431.5,21419.25,21419.5,305,,
5/16/2025 2:52:00 PM,5/16/2025 2:52:00 PM,21438,21441.25,21428,21431.25,426,,
5/16/2025 2:51:00 PM,5/16/2025 2:51:00 PM,21458.25,21458.75,21437.25,21438,468,,
5/16/2025 2:50:00 PM,5/16/2025 2:50:00 PM,21456.5,21460.75,21454.5,21457.75,162,,
5/16/2025 2:49:00 PM,5/16/2025 2:49:00 PM,21466.75,21466.75,21454.25,21456.25,333,,
5/16/2025 2:48:00 PM,5/16/2025 2:48:00 PM,21473.25,21475.75,21464,21466.75,464,,
5/16/2025 2:47:00 PM,5/16/2025 2:47:00 PM,21487.25,21487.75,21473.25,21473.5,354,,
5/16/2025 2:46:00 PM,5/16/2025 2:46:00 PM,21495.25,21495.5,21483.5,21487,270,,
5/16/2025 2:45:00 PM,5/16/2025 2:45:00 PM,21493.75,21497.5,21493.75,21496.25,101,,
5/16/2025 2:44:00 PM,5/16/2025 2:44:00 PM,21490.5,21496.25,21486.5,21494.5,181,,
5/16/2025 2:43:00 PM,5/16/2025 2:43:00 PM,21500.5,21500.5,21489.25,21490.5,205,,
5/16/2025 2:42:00 PM,5/16/2025 2:42:00 PM,21498.25,21500.25,21497.75,21500,61,,
5/16/2025 2:41:00 PM,5/16/2025 2:41:00 PM,21498,21498.5,21497,21498,58,,
5/16/2025 2:40:00 PM,5/16/2025 2:40:00 PM,21499.25,21499.5,21498,21498.5,41,,
5/16/2025 2:39:00 PM,5/16/2025 2:39:00 PM,21500.75,21501.25,21499,21499.5,42,,
5/16/2025 2:38:00 PM,5/16/2025 2:38:00 PM,21503.25,21503.25,21499.5,21500.5,55,,
5/16/2025 2:37:00 PM,5/16/2025 2:37:00 PM,21503,21503.75,21502.75,21503.75,53,,
5/16/2025 2:36:00 PM,5/16/2025 2:36:00 PM,21502.25,21503.5,21500.75,21503,113,,
5/16/2025 2:35:00 PM,5/16/2025 2:35:00 PM,21503.25,21503.5,21501.75,21502.5,84,,
5/16/2025 2:34:00 PM,5/16/2025 2:34:00 PM,21501.5,21503.25,21501,21503.25,64,,
5/16/2025 2:33:00 PM,5/16/2025 2:33:00 PM,21502.25,21502.25,21501.25,21501.75,57,,
5/16/2025 2:32:00 PM,5/16/2025 2:32:00 PM,21501.75,21502.5,21501.5,21502.5,35,,
5/16/2025 2:31:00 PM,5/16/2025 2:31:00 PM,21502,21502.75,21500.25,21501.5,59,,
5/16/2025 2:30:00 PM,5/16/2025 2:30:00 PM,21501.75,21503.75,21501.25,21502.25,77,,
5/16/2025 2:29:00 PM,5/16/2025 2:29:00 PM,21503.5,21503.75,21501.5,21501.75,80,,
5/16/2025 2:28:00 PM,5/16/2025 2:28:00 PM,21501.5,21505,21501.25,21503,154,,
5/16/2025 2:27:00 PM,5/16/2025 2:27:00 PM,21499.5,21501.75,21499,21501.75,51,,
5/16/2025 2:26:00 PM,5/16/2025 2:26:00 PM,21500.75,21501,21499.25,21499.75,110,,
5/16/2025 2:25:00 PM,5/16/2025 2:25:00 PM,21502,21502.5,21500.25,21500.75,66,,
5/16/2025 2:24:00 PM,5/16/2025 2:24:00 PM,21502.75,21503.75,21501,21501.75,81,,
5/16/2025 2:23:00 PM,5/16/2025 2:23:00 PM,21500.75,21503.5,21499.25,21503.5,200,,
5/16/2025 2:22:00 PM,5/16/2025 2:22:00 PM,21496.75,21501.75,21496.75,21500.5,202,,
5/16/2025 2:21:00 PM,5/16/2025 2:21:00 PM,21494.5,21498,21494,21497,150,,
5/16/2025 2:20:00 PM,5/16/2025 2:20:00 PM,21492.5,21494.25,21492,21494,109,,
5/16/2025 2:19:00 PM,5/16/2025 2:19:00 PM,21490.25,21493.25,21489.75,21492.25,84,,
5/16/2025 2:18:00 PM,5/16/2025 2:18:00 PM,21493.25,21493.25,21489.5,21490.25,121,,
5/16/2025 2:17:00 PM,5/16/2025 2:17:00 PM,21494,21495.25,21493.25,21493.25,103,,
5/16/2025 2:16:00 PM,5/16/2025 2:16:00 PM,21495.5,21496.5,21494.25,21494.25,86,,
5/16/2025 2:15:00 PM,5/16/2025 2:15:00 PM,21495.5,21497,21494.25,21496,295,,
5/16/2025 2:14:00 PM,5/16/2025 2:14:00 PM,21494.25,21495.75,21493.25,21495.25,206,,
5/16/2025 2:13:00 PM,5/16/2025 2:13:00 PM,21492.5,21494.75,21490.75,21493.75,117,,
5/16/2025 2:12:00 PM,5/16/2025 2:12:00 PM,21492.5,21493.75,21490.25,21492.75,134,,
5/16/2025 2:11:00 PM,5/16/2025 2:11:00 PM,21494.25,21496,21490.25,21492.75,346,,
5/16/2025 2:10:00 PM,5/16/2025 2:10:00 PM,21498.5,21499.25,21492.25,21493.5,356,,
5/16/2025 2:09:00 PM,5/16/2025 2:09:00 PM,21497,21499.5,21494.75,21498,232,,
5/16/2025 2:08:00 PM,5/16/2025 2:08:00 PM,21499.25,21499.75,21494,21496.75,307,,
5/16/2025 2:07:00 PM,5/16/2025 2:07:00 PM,21499.5,21501.25,21498,21499.25,245,,
5/16/2025 2:06:00 PM,5/16/2025 2:06:00 PM,21503.25,21503.75,21498.75,21499,407,,
